time, x, y, speed, dir_x, dir_y, angular_velocity
0.000000, 0.000000, 0.000000, 0.000000, 0.173648, 0.984808, 0.000000
0.010000, 0.000260, 0.000496, 0.056042, 0.173648, 0.984808, 0.000000
0.020000, 0.000781, 0.001489, 0.112084, 0.173648, 0.984808, 0.000000
0.030000, 0.001563, 0.002977, 0.168126, 0.173648, 0.984808, 0.000000
0.040000, 0.002605, 0.004962, 0.224168, 0.173648, 0.984808, 0.000000
0.050000, 0.003907, 0.007443, 0.280210, 0.173648, 0.984808, 0.000000
0.060000, 0.005470, 0.010420, 0.336252, 0.173648, 0.984808, 0.000000
0.070000, 0.007293, 0.013894, 0.392294, 0.173648, 0.984808, 0.000000
0.080000, 0.009377, 0.017864, 0.448336, 0.173648, 0.984808, 0.000000
0.090000, 0.011721, 0.022330, 0.504378, 0.173648, 0.984808, 0.000000
0.100000, 0.014326, 0.027292, 0.560420, 0.173648, 0.984808, 0.000000
0.110000, 0.017191, 0.032750, 0.616462, 0.173648, 0.984808, 0.000000
0.120000, 0.020317, 0.038704, 0.672503, 0.173648, 0.984808, 0.000000
0.130000, 0.023703, 0.045155, 0.728545, 0.173648, 0.984808, 0.000000
0.140000, 0.027349, 0.052102, 0.784586, 0.173648, 0.984808, 0.000000
0.150000, 0.031257, 0.059545, 0.840628, 0.173648, 0.984808, 0.000000
0.160000, 0.035424, 0.067485, 0.896669, 0.173648, 0.984808, 0.000000
0.170000, 0.039852, 0.075920, 0.952710, 0.173648, 0.984808, 0.000000
0.180000, 0.044541, 0.084852, 1.008751, 0.173648, 0.984808, 0.000000
0.190000, 0.049489, 0.094280, 1.064792, 0.173648, 0.984808, 0.000000
0.200000, 0.054699, 0.104204, 1.120832, 0.173648, 0.984808, 0.000000
0.210000, 0.060169, 0.114624, 1.176873, 0.173648, 0.984808, 0.000000
0.220000, 0.065899, 0.125541, 1.232913, 0.173648, 0.984808, 0.000000
0.230000, 0.071890, 0.136954, 1.288954, 0.173648, 0.984808, 0.000000
0.240000, 0.078141, 0.148863, 1.344994, 0.173648, 0.984808, 0.000000
0.250000, 0.084653, 0.161268, 1.401034, 0.173648, 0.984808, 0.000000
0.260000, 0.091425, 0.174169, 1.457073, 0.173648, 0.984808, 0.000000
0.270000, 0.098458, 0.187567, 1.513113, 0.173648, 0.984808, 0.000000
0.280000, 0.105751, 0.201460, 1.569152, 0.173648, 0.984808, 0.000000
0.290000, 0.113304, 0.215850, 1.625191, 0.173648, 0.984808, 0.000000
0.300000, 0.121118, 0.230736, 1.681230, 0.173648, 0.984808, 0.000000
0.310000, 0.129193, 0.246118, 1.737269, 0.173648, 0.984808, 0.000000
0.320000, 0.137528, 0.261997, 1.793307, 0.173648, 0.984808, 0.000000
0.330000, 0.146123, 0.278371, 1.849345, 0.173648, 0.984808, 0.000000
0.340000, 0.154979, 0.295242, 1.905383, 0.173648, 0.984808, 0.000000
0.350000, 0.164095, 0.312609, 1.961421, 0.173648, 0.984808, 0.000000
0.360000, 0.173472, 0.330472, 2.017458, 0.173648, 0.984808, 0.000000
0.370000, 0.183109, 0.348831, 2.073495, 0.173648, 0.984808, 0.000000
0.380000, 0.193007, 0.367687, 2.129532, 0.173648, 0.984808, 0.000000
0.390000, 0.203165, 0.387039, 2.185569, 0.173648, 0.984808, 0.000000
0.400000, 0.213583, 0.406886, 2.241605, 0.173648, 0.984808, 0.000000
0.410000, 0.224262, 0.427230, 2.297641, 0.173648, 0.984808, 0.000000
0.420000, 0.235202, 0.448070, 2.353676, 0.173648, 0.984808, 0.000000
0.430000, 0.246401, 0.469407, 2.409712, 0.173648, 0.984808, 0.000000
0.440000, 0.257862, 0.491239, 2.465747, 0.173648, 0.984808, 0.000000
0.450000, 0.269582, 0.513567, 2.521781, 0.173648, 0.984808, 0.000000
0.460000, 0.281564, 0.536392, 2.577816, 0.173648, 0.984808, 0.000000
0.470000, 0.293805, 0.559713, 2.633850, 0.173648, 0.984808, 0.000000
0.480000, 0.306307, 0.583530, 2.689883, 0.173648, 0.984808, 0.000000
0.490000, 0.319070, 0.607843, 2.745917, 0.173648, 0.984808, 0.000000
0.500000, 0.332092, 0.632652, 2.801949, 0.173648, 0.984808, 0.000000
0.510000, 0.345376, 0.657957, 2.857982, 0.173648, 0.984808, 0.000000
0.520000, 0.358919, 0.683759, 2.914014, 0.173648, 0.984808, 0.000000
0.530000, 0.372724, 0.710057, 2.970046, 0.173648, 0.984808, 0.000000
0.540000, 0.386788, 0.736850, 3.026077, 0.173648, 0.984808, 0.000000
0.550000, 0.401113, 0.764140, 3.082108, 0.173648, 0.984808, 0.000000
0.560000, 0.415699, 0.791926, 3.138138, 0.173648, 0.984808, 0.000000
0.570000, 0.430544, 0.820208, 3.194168, 0.173648, 0.984808, 0.000000
0.580000, 0.445651, 0.848986, 3.250198, 0.173648, 0.984808, 0.000000
0.590000, 0.461017, 0.878260, 3.306227, 0.173648, 0.984808, 0.000000
0.600000, 0.476644, 0.908031, 3.362256, 0.173648, 0.984808, 0.000000
0.610000, 0.492532, 0.938297, 3.418284, 0.173648, 0.984808, 0.000000
0.620000, 0.508680, 0.969059, 3.474312, 0.173648, 0.984808, 0.000000
0.630000, 0.525088, 1.000318, 3.530339, 0.173648, 0.984808, 0.000000
0.640000, 0.541757, 1.032073, 3.586366, 0.173648, 0.984808, 0.000000
0.650000, 0.558686, 1.064323, 3.642392, 0.173648, 0.984808, 0.000000
0.660000, 0.575875, 1.097070, 3.698418, 0.173648, 0.984808, 0.000000
0.670000, 0.593325, 1.130313, 3.754443, 0.173648, 0.984808, 0.000000
0.680000, 0.611035, 1.164052, 3.810468, 0.173648, 0.984808, 0.000000
0.690000, 0.629006, 1.198287, 3.866493, 0.173648, 0.984808, 0.000000
0.700000, 0.647237, 1.233018, 3.922516, 0.173648, 0.984808, 0.000000
0.710000, 0.665728, 1.268245, 3.978540, 0.173648, 0.984808, 0.000000
0.720000, 0.684480, 1.303968, 4.034562, 0.173648, 0.984808, 0.000000
0.730000, 0.703492, 1.340187, 4.090585, 0.173648, 0.984808, 0.000000
0.740000, 0.722765, 1.376902, 4.146606, 0.173648, 0.984808, 0.000000
0.750000, 0.742298, 1.414114, 4.202627, 0.173648, 0.984808, 0.000000
0.760000, 0.762091, 1.451821, 4.258648, 0.173648, 0.984808, 0.000000
0.770000, 0.782145, 1.490024, 4.314668, 0.173648, 0.984808, 0.000000
0.780000, 0.802459, 1.528723, 4.370687, 0.173648, 0.984808, 0.000000
0.790000, 0.823033, 1.567918, 4.426705, 0.173648, 0.984808, 0.000000
0.800000, 0.843868, 1.607610, 4.482724, 0.173648, 0.984808, 0.000000
0.810000, 0.864963, 1.647797, 4.538741, 0.173648, 0.984808, 0.000000
0.820000, 0.886319, 1.688480, 4.594758, 0.173648, 0.984808, 0.000000
0.830000, 0.907934, 1.729659, 4.650774, 0.173648, 0.984808, 0.000000
0.840000, 0.929811, 1.771334, 4.706790, 0.173648, 0.984808, 0.000000
0.850000, 0.951947, 1.813506, 4.762805, 0.173648, 0.984808, 0.000000
0.860000, 0.974344, 1.856173, 4.818819, 0.173648, 0.984808, 0.000000
0.870000, 0.997001, 1.899336, 4.874833, 0.173648, 0.984808, 0.000000
0.880000, 1.019919, 1.942995, 4.930846, 0.173648, 0.984808, 0.000000
0.890000, 1.043097, 1.987150, 4.986858, 0.173648, 0.984808, 0.000000
0.900000, 1.066535, 2.031801, 5.042870, 0.173648, 0.984808, 0.000000
0.910000, 1.090233, 2.076948, 5.098881, 0.173648, 0.984808, 0.000000
0.920000, 1.114192, 2.122590, 5.154891, 0.173648, 0.984808, 0.000000
0.930000, 1.138411, 2.168729, 5.210900, 0.173648, 0.984808, 0.000000
0.940000, 1.162891, 2.215364, 5.266909, 0.173648, 0.984808, 0.000000
0.950000, 1.187631, 2.262494, 5.322917, 0.173648, 0.984808, 0.000000
0.960000, 1.212631, 2.310121, 5.378925, 0.173648, 0.984808, 0.000000
0.970000, 1.237891, 2.358243, 5.434931, 0.173648, 0.984808, 0.000000
0.980000, 1.263412, 2.406861, 5.490937, 0.173648, 0.984808, 0.000000
0.990000, 1.289193, 2.455975, 5.546943, 0.173648, 0.984808, 0.000000
1.000000, 1.315234, 2.505585, 5.602947, 0.173648, 0.984808, 0.000000
1.010000, 1.341536, 2.555691, 5.658951, 0.173648, 0.984808, 0.000000
1.020000, 1.368098, 2.606293, 5.714953, 0.173648, 0.984808, 0.000000
1.030000, 1.394920, 2.657390, 5.770956, 0.173648, 0.984808, 0.000000
1.040000, 1.422003, 2.708984, 5.826957, 0.173648, 0.984808, 0.000000
1.050000, 1.449345, 2.761073, 5.882957, 0.173648, 0.984808, 0.000000
1.060000, 1.476948, 2.813658, 5.938957, 0.173648, 0.984808, 0.000000
1.070000, 1.504812, 2.866739, 5.994956, 0.173648, 0.984808, 0.000000
1.080000, 1.532935, 2.920316, 6.050954, 0.173648, 0.984808, 0.000000
1.090000, 1.561319, 2.974388, 6.106951, 0.173648, 0.984808, 0.000000
1.100000, 1.589963, 3.028957, 6.162948, 0.173648, 0.984808, 0.000000
1.110000, 1.618867, 3.084021, 6.218943, 0.173648, 0.984808, 0.000000
1.120000, 1.648032, 3.139581, 6.274938, 0.173648, 0.984808, 0.000000
1.130000, 1.677457, 3.195637, 6.330932, 0.173648, 0.984808, 0.000000
1.140000, 1.707142, 3.252188, 6.386925, 0.173648, 0.984808, 0.000000
1.150000, 1.737087, 3.309236, 6.442917, 0.173648, 0.984808, 0.000000
1.160000, 1.767293, 3.366779, 6.498908, 0.173648, 0.984808, 0.000000
1.170000, 1.797759, 3.424818, 6.554899, 0.173648, 0.984808, 0.000000
1.180000, 1.828485, 3.483352, 6.610888, 0.173648, 0.984808, 0.000000
1.190000, 1.859471, 3.542382, 6.666877, 0.173648, 0.984808, 0.000000
1.200000, 1.890717, 3.601908, 6.722864, 0.173648, 0.984808, 0.000000
